bill_number,bill_date,customer_name,service_name,staff_name,customer_id,staff_id,service_id,service_category,service_cost
101,01-02-2017,Tommi Minett,Shampoo,Cloris Dudeney,1087,57,5,STYLE,100
102,01-03-2017,Gusta Guichard,Color full color,Cristine Bosman,1109,51,1,COLOR,200
103,01-03-2017,Milt Underwood,Hair Cut,Jackie Leggate,1134,52,3,STYLE,100
104,01-03-2017,Rosabelle Merrifield,Hair Spa,Cloris Dudeney,1034,57,4,STYLE,200
105,01-03-2017,Nathanael Grigoliis,Hair Cut,June Pynn,1136,53,3,STYLE,100
106,01-03-2017,Gregor Tolley,Shaving,June Pynn,1039,53,6,STYLE,100
107,01-04-2017,Carce Francklin,Blowdry + style,June Pynn,1036,53,2,STYLE,50
108,01-04-2017,Shayna Borrowman,Hair Cut,Munroe Cumes,1148,55,3,STYLE,100
109,01-04-2017,Pavia Maynard,Hair Spa,Munroe Cumes,1166,55,4,STYLE,200
110,01-05-2017,Mari Clifford,Hair Cut,June Pynn,1101,53,3,STYLE,100
111,01-05-2017,Oby Downey,Hair Cut,Cristine Bosman,1107,51,3,STYLE,100
112,01-05-2017,Gabie Smalls,Shampoo,June Pynn,1086,53,5,STYLE,100
113,01-06-2017,Heddie Chatainier,Color full color,Munroe Cumes,1038,55,1,COLOR,200
114,01-06-2017,Alisun Mityashin,Hair Spa,Cloris Dudeney,1055,57,4,STYLE,200
115,01-06-2017,Trace Larenson,Blowdry + style,Cristine Bosman,1026,51,2,STYLE,50
116,01-07-2017,Archibold Woltering,Color full color,Cristine Bosman,1145,51,1,COLOR,200
117,01-08-2017,Rossie Kumar,Shaving,Cristine Bosman,1140,51,6,STYLE,100
118,01-09-2017,Boycey Robart,Hair Spa,Cloris Dudeney,1077,57,4,STYLE,200
119,01-10-2017,Walton Hulse,Shampoo,Munroe Cumes,1052,55,5,STYLE,100
120,01-10-2017,Marla Ainley,Blowdry + style,Jackie Leggate,1146,52,2,STYLE,50
121,01-11-2017,Sigvard Sheahan,Blowdry + style,June Pynn,1126,53,2,STYLE,50
122,01-11-2017,Hi Gregori,Shampoo,Jackie Leggate,1069,52,5,STYLE,100
123,01-11-2017,Mitchell Dockwra,Blowdry + style,Ralina Pollicatt,1141,54,2,STYLE,50
124,01-12-2017,Charo Jermey,Blowdry + style,Cloris Dudeney,1128,57,2,STYLE,50
125,01-12-2017,Maddalena Mitchell,Hair Spa,Jackie Leggate,1037,52,4,STYLE,200
126,01-12-2017,Sigvard Sheahan,Shaving,Ralina Pollicatt,1126,54,6,STYLE,100
127,1/13/2017,Ted Boshere,Shaving,Ralina Pollicatt,1064,54,6,STYLE,100
128,1/13/2017,Enrichetta Sircomb,Hair Cut,June Pynn,1105,53,3,STYLE,100
129,1/14/2017,Sabine Gioan,Color full color,Dayle Pfeffle,1154,56,1,COLOR,200
130,1/15/2017,Boycey Robart,Hair Cut,Ralina Pollicatt,1077,54,3,STYLE,100
131,1/16/2017,Gusta Guichard,Hair Spa,Dayle Pfeffle,1109,56,4,STYLE,200
132,1/16/2017,Ezra Dudman,Hair Spa,Ralina Pollicatt,1103,54,4,STYLE,200
133,1/16/2017,Stanley Wheelband,Shaving,June Pynn,1120,53,6,STYLE,100
134,1/17/2017,Calhoun Cutteridge,Shampoo,Ralina Pollicatt,1110,54,5,STYLE,100
135,1/17/2017,Trueman Eiler,Shaving,Ralina Pollicatt,1024,54,6,STYLE,100
136,1/17/2017,Dav Uccelli,Hair Spa,Ralina Pollicatt,1149,54,4,STYLE,200
137,1/17/2017,Sayer McClay,Color full color,Munroe Cumes,1019,55,1,COLOR,200
138,1/18/2017,Aleece O'Fergus,Shaving,June Pynn,1020,53,6,STYLE,100
139,1/18/2017,Benjy Bewley,Hair Cut,Cloris Dudeney,1068,57,3,STYLE,100
140,1/18/2017,Arleta Corss,Hair Cut,Dayle Pfeffle,1170,56,3,STYLE,100
141,1/19/2017,Wheeler Human,Shampoo,Dayle Pfeffle,1058,56,5,STYLE,100
142,1/19/2017,Paddy Pandie,Color full color,Ralina Pollicatt,1044,54,1,COLOR,200
143,1/20/2017,Web Addionisio,Shaving,June Pynn,1027,53,6,STYLE,100
