bill_date,customer_name,staff_name,service_name
01-02-2017,Tommi Minett,Cloris Dudeney,Shampoo
01-03-2017,Gusta Guichard,Cristine Bosman,Color full color
01-03-2017,Milt Underwood,Jackie Leggate,Hair Cut
01-03-2017,Rosabelle Merrifield,Cloris Dudeney,Hair Spa
01-03-2017,Nathanael Grigoliis,June Pynn,Hair Cut
01-03-2017,Gregor Tolley,June Pynn,Shaving
01-04-2017,Carce Francklin,June Pynn,Blowdry + style
01-04-2017,Shayna Borrowman,Munroe Cumes,Hair Cut
01-04-2017,Pavia Maynard,Munroe Cumes,Hair Spa
01-05-2017,Mari Clifford,June Pynn,Hair Cut
01-05-2017,Oby Downey,Cristine Bosman,Hair Cut
01-05-2017,Gabie Smalls,June Pynn,Shampoo
01-06-2017,Heddie Chatainier,Munroe Cumes,Color full color
01-06-2017,Alisun Mityashin,Cloris Dudeney,Hair Spa
01-06-2017,Trace Larenson,Cristine Bosman,Blowdry + style
01-07-2017,Archibold Woltering,Cristine Bosman,Color full color
01-08-2017,Rossie Kumar,Cristine Bosman,Shaving
01-09-2017,Boycey Robart,Cloris Dudeney,Hair Spa
01-10-2017,Walton Hulse,Munroe Cumes,Shampoo
01-10-2017,Marla Ainley,Jackie Leggate,Blowdry + style
01-11-2017,Sigvard Sheahan,June Pynn,Blowdry + style
01-11-2017,Hi Gregori,Jackie Leggate,Shampoo
01-11-2017,Mitchell Dockwra,Ralina Pollicatt,Blowdry + style
01-12-2017,Charo Jermey,Cloris Dudeney,Blowdry + style
01-12-2017,Maddalena Mitchell,Jackie Leggate,Hair Spa
01-12-2017,Sigvard Sheahan,Ralina Pollicatt,Shaving
1/13/2017,Ted Boshere,Ralina Pollicatt,Shaving
1/13/2017,Enrichetta Sircomb,June Pynn,Hair Cut
1/14/2017,Sabine Gioan,Dayle Pfeffle,Color full color
1/15/2017,Boycey Robart,Ralina Pollicatt,Hair Cut
1/16/2017,Gusta Guichard,Dayle Pfeffle,Hair Spa
1/16/2017,Ezra Dudman,Ralina Pollicatt,Hair Spa
1/16/2017,Stanley Wheelband,June Pynn,Shaving
1/17/2017,Calhoun Cutteridge,Ralina Pollicatt,Shampoo
1/17/2017,Trueman Eiler,Ralina Pollicatt,Shaving
1/17/2017,Dav Uccelli,Ralina Pollicatt,Hair Spa
1/17/2017,Sayer McClay,Munroe Cumes,Color full color
1/18/2017,Aleece O'Fergus,June Pynn,Shaving
1/18/2017,Benjy Bewley,Cloris Dudeney,Hair Cut
1/18/2017,Arleta Corss,Dayle Pfeffle,Hair Cut
1/19/2017,Wheeler Human,Dayle Pfeffle,Shampoo
1/19/2017,Paddy Pandie,Ralina Pollicatt,Color full color
